filename,processing_time,file_size_mb,megapixels,width,height,codes_found,strategies_used,preprocessing_complexity,rotation_attempts,pixels_per_second,time_per_megapixel,overall_quality_score,contrast_score,contrast_category,sharpness_score,sharpness_category
05102009214.jpg,0.711768,0.2222576141357422,1.92,1600,1200,1,1,basic,0,2697508.176821661,0.3707125,47.815563662296924,0.2448425583051071,medium,185.33234735786428,moderate
05102009083.jpg,0.718349,0.24466991424560547,1.92,1200,1600,1,1,basic,0,2672795.535317791,0.3741401041666667,46.70622634940497,0.1819585609433242,medium,260.7483134532095,moderate
05102009196.jpg,0.728747,0.2517127990722656,1.92,1600,1200,1,1,basic,0,2634659.2164358823,0.3795557291666667,52.25945439446555,0.24324949650374536,medium,293.7464900802385,moderate
06102009245.jpg,0.737407,0.2065134048461914,1.92,1600,1200,1,1,basic,0,2603718.163782009,0.38406614583333337,49.32455113595593,0.250690402789706,medium,251.84130151532946,moderate
05102009173.jpg,0.738706,0.22437191009521484,1.92,1600,1200,1,1,basic,0,2599139.576502695,0.38474270833333335,43.88430141233942,0.18820554685060117,medium,153.35847655950928,moderate
05102009151.jpg,0.744833,0.23128223419189453,1.92,1600,1200,1,1,basic,0,2577759.04128845,0.38793385416666665,51.640070724663715,0.2616116962656874,medium,266.91499114571377,moderate
05102009190.jpg,0.745259,0.24521350860595703,1.92,1600,1200,1,1,basic,0,2576285.5597852557,0.3881557291666667,51.04631319959036,0.23442659977153485,medium,329.0563311605458,moderate
05102009222.jpg,0.747711,0.25713539123535156,1.92,1600,1200,1,1,basic,0,2567837.038641935,0.3894328125,51.877985097037424,0.26007926885321253,medium,380.3823191983265,moderate
05102009197.jpg,0.748701,0.2634153366088867,1.92,1600,1200,1,1,basic,0,2564441.612873497,0.38994843749999997,47.40842417461039,0.23502377850781261,medium,186.87225647919672,moderate
05102009209.jpg,0.748852,0.23215103149414062,1.92,1600,1200,1,1,basic,0,2563924.5137891066,0.3900270833333333,51.56859192661638,0.2680008814787355,medium,266.18776992664925,moderate
05102009186.jpg,0.74966,0.2757139205932617,1.92,1600,1200,1,1,basic,0,2561161.0596803883,0.3904479166666667,48.87897600407793,0.2030306747440743,medium,292.84283608445196,moderate
05102009210.jpg,0.752947,0.22470378875732422,1.92,1600,1200,1,1,basic,0,2549980.2774962913,0.3921598958333334,51.06322763745695,0.2631139799550797,medium,233.66034166395409,moderate
05102009205.jpg,0.754642,0.26166343688964844,1.92,1600,1200,1,1,basic,0,2544252.7715128497,0.3930427083333334,50.6196659913122,0.24290172926955905,medium,311.33587455996053,moderate
05102009152.jpg,0.755459,0.24244976043701172,1.92,1600,1200,1,1,basic,0,2541501.259499192,0.3934682291666667,58.51794151762567,0.2897007502418125,high,541.0376152770809,sharp
05102009192.jpg,0.758099,0.26732349395751953,1.92,1600,1200,1,1,basic,0,2532650.748780832,0.39484322916666664,51.58000212990831,0.2282664626463541,medium,375.3686877279945,moderate
05102009213.jpg,0.758823,0.2550516128540039,1.92,1600,1200,1,1,basic,0,2530234.3234192953,0.3952203125,51.1975593493969,0.25767096125655203,medium,329.8752983479817,moderate
05102009193.jpg,0.781346,0.2780885696411133,1.92,1600,1200,1,1,basic,0,2457298.047215958,0.4069510416666667,49.59799570410813,0.21862299189028128,medium,334.86972485303784,moderate
05102009179.jpg,0.781696,0.2589302062988281,1.92,1600,1200,1,1,basic,0,2456197.805796627,0.40713333333333335,50.14267628918965,0.21476252312165392,medium,323.66263228364136,moderate
05102009191.jpg,0.784624,0.2779560089111328,1.92,1600,1200,1,1,basic,0,2447031.9541589348,0.40865833333333335,51.626673017679494,0.21806942997685436,medium,407.2396562609331,moderate
05102009206.jpg,0.811492,0.2602977752685547,1.92,1600,1200,1,1,basic,0,2366012.234254928,0.4226520833333333,53.74922379332429,0.25378294573438437,medium,396.81169481819006,moderate
05102009180.jpg,0.816204,0.2525911331176758,1.92,1600,1200,1,1,basic,0,2352353.0881985384,0.42510625,47.551025498717976,0.20641251713699682,medium,204.13195148299448,moderate
05102009082.jpg,0.821777,0.27283668518066406,1.92,1600,1200,1,1,basic,0,2336400.26430528,0.4280088541666667,55.10402837756622,0.19431476813404844,medium,627.5723334243755,sharp
05102009211.jpg,0.824341,0.2684593200683594,1.92,1600,1200,1,1,basic,0,2329133.2106494764,0.4293442708333333,53.40489788433203,0.25808964608012913,medium,328.4258052019,moderate
05102009177.jpg,0.853361,0.27019309997558594,1.92,1600,1200,1,1,basic,0,2249927.0531463237,0.4444588541666667,49.41007196255052,0.2074761419415874,medium,259.44615642886674,moderate
05102009160.jpg,0.873634,0.3548860549926758,1.92,1600,1200,1,1,basic,0,2197716.6639576755,0.4550177083333334,56.61372241546836,0.2771827083671523,high,521.7952816872762,sharp
05102009081.jpg,0.87652,0.2800941467285156,1.92,1600,1200,1,1,basic,0,2190480.5366677316,0.4565208333333333,51.431216498296585,0.19092792774104594,medium,476.1519048005983,moderate
05102009118.jpg,0.922021,0.32147789001464844,1.92,1600,1200,1,1,basic,0,2082382.071558023,0.4802192708333333,61.722096276642645,0.2279483919364224,medium,808.2353486051363,sharp
05102009170.jpg,0.93942,0.2204132080078125,1.92,1600,1200,1,1,basic,0,2043814.2683783611,0.48928125000000006,44.8025507979724,0.19356421052844153,medium,105.30442442134984,moderate
05102009119.jpg,0.940162,0.33420562744140625,1.92,1600,1200,1,1,basic,0,2042201.2376590415,0.4896677083333334,58.7293175217433,0.2170462304827554,medium,695.357991352725,sharp
05102009114.jpg,0.94031,0.3139505386352539,1.92,1600,1200,1,1,basic,0,2041879.8055960268,0.4897447916666667,59.50528469411696,0.23029738161853708,medium,691.092273123254,sharp
05102009101.jpg,0.978299,0.29811573028564453,1.92,1600,1200,1,1,basic,0,1962590.16926318,0.5095307291666668,49.72935490775123,0.1706353474928101,medium,483.46898228450397,moderate
05102009135.jpg,0.988657,0.4587087631225586,3.145728,2048,1536,1,1,basic,0,3181819.3771955287,0.3142855962117513,43.581989858975525,0.20962278860718123,medium,82.71731590109245,blurred
05102009111.jpg,0.99818,0.3044271469116211,1.92,1600,1200,1,1,basic,0,1923500.7714039553,0.5198854166666667,53.80222083680552,0.19668725281692773,medium,426.16467849608074,moderate
05102009134.jpg,1.011765,0.4329862594604492,3.145728,2048,1536,1,1,basic,0,3109148.863619516,0.32163143157958984,44.79292260899181,0.19514594235261226,medium,106.65708350895555,moderate
05102009133.jpg,1.041745,0.4902048110961914,3.145728,2048,1536,1,1,basic,0,3019671.800680589,0.3311618169148763,46.5456729793888,0.2130536092204748,medium,150.0651801249791,moderate
05102009102.jpg,1.053451,0.3683280944824219,1.92,1600,1200,1,1,basic,0,1822581.2116557867,0.5486723958333333,62.08422729296795,0.1982088962000705,medium,789.229720440748,sharp
05102009158.jpg,1.107817,0.34612083435058594,1.92,1600,1200,1,1,basic,0,1733138.2349250824,0.5769880208333333,61.08863732254025,0.2904542521345986,high,704.739605645482,sharp
05102009117.jpg,1.109918,0.3419523239135742,1.92,1600,1200,1,1,basic,0,1729857.5210060563,0.5780822916666667,60.93660636178001,0.21022900983596668,medium,751.5877722740613,sharp
05102009104.jpg,1.113724,0.38520240783691406,1.92,1600,1200,1,1,basic,0,1723945.968660099,0.5800645833333333,62.93997981418492,0.2016768768454684,medium,827.5040832430003,sharp
05102009132.jpg,1.187418,0.48389434814453125,3.145728,2048,1536,1,1,basic,0,2649217.04067144,0.3774700164794922,44.82674860684192,0.20508009627848142,medium,164.99018561864526,moderate
05102009150.jpg,1.195797,0.2355661392211914,1.92,1600,1200,1,1,basic,0,1605623.696998738,0.6228109375,52.715750210899,0.27212017904021163,medium,315.59446509965244,moderate
05102009137.jpg,1.224002,0.5876436233520508,3.145728,2048,1536,1,1,basic,0,2570035.016282653,0.3890997568766276,43.348201544624004,0.19247279156337774,medium,321.98014250259774,moderate
05102009110.jpg,1.324072,0.3034982681274414,1.92,1600,1200,1,1,basic,0,1450072.2015117004,0.6896208333333333,54.26566674612254,0.1985534265049999,medium,424.87025410924394,moderate
05102009138.jpg,1.361735,0.6199254989624023,3.145728,2048,1536,1,1,basic,0,2310088.23302625,0.4328838984171549,44.786064655848044,0.21258528518181277,medium,283.56774679326264,moderate
PICT0028.JPG,1.372362,1.424001693725586,6.642432,2976,2232,1,1,basic,0,4840145.675849374,0.20660535177477166,51.18132368705639,0.1417776891553391,medium,4.56748925576516,blurred
05102009115.jpg,1.380041,0.3582315444946289,1.92,1200,1600,1,1,basic,0,1391263.0132003324,0.7187713541666667,64.51646963175209,0.2275176380476225,medium,922.5061307432458,sharp
PICT00sdf27.JPG,1.394486,1.4466371536254883,6.642432,2976,2232,1,1,basic,0,4763355.100015347,0.20993605956372602,50.53101908394169,0.10408921547184914,low,3.2946901017443904,blurred
05102009139.jpg,1.431756,0.562647819519043,3.145728,2048,1536,1,1,basic,0,2197111.7983790534,0.4551429748535156,46.04300648715406,0.2068423772460143,medium,269.6321743607825,moderate
PICT00daw23.JPG,1.439656,1.431330680847168,6.642432,2976,2232,1,1,basic,0,4613902.2099723825,0.21673627972405288,46.776139142772635,0.1643249541769963,medium,7.487249648227022,blurred
PICT00dsf33.JPG,1.469566,1.4443073272705078,6.642432,2976,2232,1,1,basic,0,4519995.6994105745,0.22123914855281918,50.072077919198264,0.2187701977853438,medium,6.4482528293487125,blurred
PICawdT0024.JPG,1.479704,1.4252023696899414,6.642432,2976,2232,1,1,basic,0,4489027.535236778,0.22276539677033952,47.536735989459274,0.17531494645271894,medium,6.960678703463832,blurred
05102009154.jpg,1.484816,0.1848306655883789,1.92,1600,1200,1,1,basic,0,1293089.514121615,0.7733416666666667,43.78781753761645,0.2005437371473921,medium,163.29296231222233,moderate
PICsdT0032.JPG,1.511487,1.4598102569580078,6.642432,2976,2232,1,1,basic,0,4394633.893642486,0.22755024063475546,47.744326983723695,0.2122668692346793,medium,4.054862875056986,blurred
PICT0026.JPG,1.513474,1.5514812469482422,6.642432,2976,2232,1,1,basic,0,4388864.294992845,0.2278493780591205,42.174521117350835,0.22565500324207136,medium,18.426583965734256,blurred
PICT00sdf37.JPG,1.528815,1.459299087524414,6.642432,2976,2232,1,1,basic,0,4344823.932261261,0.23015892371950514,49.01375071586474,0.22032929589806877,medium,5.117205264026225,blurred
PICTfgh0008.JPG,1.536895,1.5662822723388672,6.642432,2976,2232,2,1,basic,0,4321981.657823078,0.2313753456565306,50.65952544984607,0.1399069859756969,medium,6.51234892668912,blurred
PICT00dfs31.JPG,1.538936,1.4426641464233398,6.642432,2976,2232,1,1,basic,0,4316249.668602203,0.2316826126334451,48.3169158946688,0.21548300343819218,medium,10.017992190024977,blurred
PICT0018.JPG,1.548551,1.506429672241211,6.642432,2976,2232,1,1,basic,0,4289449.943850735,0.23313012462905153,50.17975867484912,0.20433570620166747,medium,12.046702618132818,blurred
PICgfhT0012.JPG,1.54953,1.548583984375,6.642432,2976,2232,1,1,basic,0,4286739.850148109,0.23327751040582725,48.99187694464959,0.1560458711026973,medium,6.019783388144347,blurred
PICTsdf0036.JPG,1.553967,1.4734611511230469,6.642432,2976,2232,1,1,basic,0,4274500.037645587,0.23394548864030523,43.789262930597204,0.20510627787962832,medium,6.097644625005468,blurred
