filename,processing_time,codes_found,detection_success,megapixels,file_size_mb,strategies_used,overall_quality_score,resolution_category,contrast_score,contrast_category,sharpness_score,sharpness_category,brightness,lighting_category,noise_level,noise_category,has_qr_code,has_barcode,resolution_range,contrast_range
05102009209.jpg,0.748852,1,1,1.92,0.23215103149414062,1,51.56859192661638,medium,0.2680008814787355,medium,266.18776992664925,moderate,133.1102734375,optimal,0.9060814663613798,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009210.jpg,0.752947,1,1,1.92,0.22470378875732422,1,51.06322763745695,medium,0.2631139799550797,medium,233.66034166395409,moderate,130.7816015625,optimal,0.8413693736071399,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009211.jpg,0.824341,1,1,1.92,0.2684593200683594,1,53.40489788433203,medium,0.25808964608012913,medium,328.4258052019,moderate,127.80010729166666,optimal,1.210912744123931,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009212.jpg,0.677635,1,1,1.92,0.21318340301513672,1,47.57333653116551,medium,0.2342812670398343,medium,158.36878743486872,moderate,137.23551197916666,optimal,0.715775696715145,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009213.jpg,0.758823,1,1,1.92,0.2550516128540039,1,51.1975593493969,medium,0.25767096125655203,medium,329.8752983479817,moderate,143.09463177083333,optimal,1.0448803923504368,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009214.jpg,0.711768,1,1,1.92,0.2222576141357422,1,47.815563662296924,medium,0.2448425583051071,medium,185.33234735786428,moderate,141.32404895833332,optimal,0.7703307113035062,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009215.jpg,0.616807,1,1,1.92,0.19171810150146484,1,50.896076800897674,medium,0.26161959393339285,medium,126.25667424081601,moderate,129.5770828125,optimal,0.6052803733609345,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009216.jpg,0.619618,1,1,1.92,0.2013111114501953,1,49.80869363551592,medium,0.27448589125984296,medium,181.9080416258291,moderate,133.40611927083333,optimal,0.6747046049265318,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009218.jpg,0.605885,1,1,1.92,0.18814468383789062,1,50.369157782876,medium,0.24527242154873066,medium,191.7026921632483,moderate,128.39131302083334,optimal,0.6267832028786996,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009219.jpg,0.619893,1,1,1.92,0.20616817474365234,1,44.90377076022777,medium,0.24596649034215035,medium,89.72993697395387,blurred,145.68937916666667,optimal,0.6354039749624242,low,False,True,800x600 - 1920x1080,Low (<0.4)
